PRODUCT_ID	EDITOR_RATING	MIN_PRICE	ALL_RATINGS	EDITOR	THE_GOOD	THE_BAD	THE_BOTTOM_LINE
34647465	Overall score: 7.4 (3.5 stars)	$125.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Joshua Goldman	The <b>Canon PowerShot ELPH 100 HS</b> is a very good value, offering good photo and video quality outside and indoors, lots of fun shooting modes, and decent shooting performance for its class.	The 100 HS' photos look soft, even at lower ISOs, and its autofocus is regularly inaccurate.	If you're after an inexpensive ultracompact with good low-light photos, the Canon PowerShot ELPH 100 HS is one to get. But you'd better act fast.
34493835	Overall score: 7.4 (3.5 stars)	$129.00	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Joshua Goldman	The <b>Canon PowerShot ELPH 100 HS</b> is a very good value, offering good photo and video quality outside and indoors, lots of fun shooting modes, and decent shooting performance for its class.	The 100 HS' photos look soft, even at lower ISOs, and its autofocus is regularly inaccurate.	If you're after an inexpensive ultracompact with good low-light photos, the Canon PowerShot ELPH 100 HS is one to get. But you'd better act fast.
34647464	Overall score: 7.4 (3.5 stars)	$125.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Joshua Goldman	The <b>Canon PowerShot ELPH 100 HS</b> is a very good value, offering good photo and video quality outside and indoors, lots of fun shooting modes, and decent shooting performance for its class.	The 100 HS' photos look soft, even at lower ISOs, and its autofocus is regularly inaccurate.	If you're after an inexpensive ultracompact with good low-light photos, the Canon PowerShot ELPH 100 HS is one to get. But you'd better act fast.
34493948	Overall score: 7.4 (3.5 stars)	$125.95	{'performance': 7.0, 'design': 8.0, 'features': 7.0, 'image quality': 7.0}	Joshua Goldman	The <b>Canon PowerShot ELPH 100 HS</b> is a very good value, offering good photo and video quality outside and indoors, lots of fun shooting modes, and decent shooting performance for its class.	The 100 HS' photos look soft, even at lower ISOs, and its autofocus is regularly inaccurate.	If you're after an inexpensive ultracompact with good low-light photos, the Canon PowerShot ELPH 100 HS is one to get. But you'd better act fast.
35094988	Overall score: 6.4 (3.0 stars)	$248.00	{}	Joshua Goldman	The <b>Panasonic Lumix DMC-FX90</b> has a bright f2.5 ultrawide-angle Leica lens and good shooting performance for its class. Its built-in Wi-Fi lets you back up photos and movies to your PC, send them to your smartphone or Panasonic AV device, and upload to sharing sites.	The FX90's convoluted Wi-Fi setup made me want to smash the camera to bits. For its price, its photo quality is disappointing.	While adding Wi-Fi to a point-and-shoot is a solid way to compete with smartphones, Panasonic fumbles it a bit with the Lumix DMC-FX90.
35015236	Overall score: 7.2 (3.5 stars)	$246.95	{'performance': 7.0, 'design': 7.0, 'features': 8.0, 'image quality': 7.0}	Joshua Goldman	The <b>Nikon Coolpix S8200</b> is easy to use, has an excellent feature set for its price, and has a lot of fun shooting options to experiment with.	The S8200's autofocus can be slow at times, its flash is poorly placed, and its photo quality isn't for everybody.	The Nikon Coolpix S8200 might not be as easy to recommend as its predecessor, the S8100, but it's still a very good compact megazoom for the money.
35015234	Overall score: 7.2 (3.5 stars)	$238.99	{'performance': 7.0, 'design': 7.0, 'features': 8.0, 'image quality': 7.0}	Joshua Goldman	The <b>Nikon Coolpix S8200</b> is easy to use, has an excellent feature set for its price, and has a lot of fun shooting options to experiment with.	The S8200's autofocus can be slow at times, its flash is poorly placed, and its photo quality isn't for everybody.	The Nikon Coolpix S8200 might not be as easy to recommend as its predecessor, the S8100, but it's still a very good compact megazoom for the money.
35015235	Overall score: 7.2 (3.5 stars)	$229.99	{'performance': 7.0, 'design': 7.0, 'features': 8.0, 'image quality': 7.0}	Joshua Goldman	The <b>Nikon Coolpix S8200</b> is easy to use, has an excellent feature set for its price, and has a lot of fun shooting options to experiment with.	The S8200's autofocus can be slow at times, its flash is poorly placed, and its photo quality isn't for everybody.	The Nikon Coolpix S8200 might not be as easy to recommend as its predecessor, the S8100, but it's still a very good compact megazoom for the money.
34962459	Overall score: 8.2 (4.0 stars)	$1,999.00	{'performance': 8.0, 'design': 8.0, 'features': 9.0, 'image quality': 8.0}	Lori Grunin	A well-designed camera that's enjoyable to shoot, partly thanks to a great viewfinder, the fixed-mirror <b>Sony Alpha SLT-A77V</b> bests the competition with features like a cleverly articulated display, built-in GPS for geotagging, and very good 1080/60p video.	There are some annoying omissions in the A77V's feature set, including odd limitations for raw and video shooting, plus battery life is subpar.	The Sony Alpha SLT-A77V is an excellent, well-designed camera for deep-pocketed amateurs; it nevertheless has a few limitations that may make it impractical for professionals.
34961934	Overall score: 8.2 (4.0 stars)	$1,399.00	{'performance': 8.0, 'design': 8.0, 'features': 9.0, 'image quality': 8.0}	Lori Grunin	A well-designed camera that's enjoyable to shoot, partly thanks to a great viewfinder, the fixed-mirror <b>Sony Alpha SLT-A77V</b> bests the competition with features like a cleverly articulated display, built-in GPS for geotagging, and very good 1080/60p video.	There are some annoying omissions in the A77V's feature set, including odd limitations for raw and video shooting, plus battery life is subpar.	The Sony Alpha SLT-A77V is an excellent, well-designed camera for deep-pocketed amateurs; it nevertheless has a few limitations that may make it impractical for professionals.
35016511	Overall score: 7.3 (3.5 stars)	$219.00	{'performance': 7.0, 'design': 7.0, 'features': 8.0, 'image quality': 7.0}	Joshua Goldman	The <b>Fujifilm FinePix F600EXR</b> has a lot of shooting options for both photos and movies and it has a comfortable, nice-looking design.	The F600EXR isn't the easiest camera to use, the GPS quickly drains battery life, and it's not always the fastest camera.	The Fujifilm FinePix F600EXR is loaded with features, but getting the best results takes some menu digging and patience.
35033236	Overall score: 7.8 (3.5 stars)	$294.48	{'performance': 8.0, 'design': 8.0, 'features': 8.0, 'image quality': 7.0}	Joshua Goldman	The <b>Panasonic Lumix DMC-FZ47</b> has excellent features, design, and shooting performance.	For the $100 price drop from the FZ47's linemate, the FZ150, you lose a lot of features and get less-impressive shooting performance and low-light photo quality.	The Panasonic Lumix DMC-FZ47 is a very good megazoom for the money, but if you want more control over results--especially in low light--you'll want to step up to the Lumix FZ150.
35018420	Overall score: 7.8 (3.5 stars)	$599.00	{'performance': 8.0, 'design': 8.0, 'features': 8.0, 'image quality': 7.0}	Lori Grunin	With a nice, fast lens, attractive retro design, and speedy performance, the <b>Fujifilm FinePix X10</b> hits a lot of important high notes.	The camera has some image-quality-related weaknesses, not the least of which is that to get the best photos you have to shoot in auto at reduced resolutions.	There's a lot to like about the Fujifilm FinePix X10, but advanced shooters may be frustrated by the trade-offs for the best photos, especially since it's more expensive than its competitors.
35004525	Overall score: 6.8 (3.0 stars)	$159.03	{'performance': 5.0, 'design': 8.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Nikon Coolpix S6200</b> packs an ultrawide-angle lens with a 10x zoom into a very small body, but still remains comfortable and easy to use.	The S6200's autofocus and overall shooting performance are mediocre.	The Nikon Coolpix S6200 is not exceptional in any way, but casual snapshooters in need of a pocket-friendly 10x zoom camera should check it out.
35004524	Overall score: 6.8 (3.0 stars)	$159.99	{'performance': 5.0, 'design': 8.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Nikon Coolpix S6200</b> packs an ultrawide-angle lens with a 10x zoom into a very small body, but still remains comfortable and easy to use.	The S6200's autofocus and overall shooting performance are mediocre.	The Nikon Coolpix S6200 is not exceptional in any way, but casual snapshooters in need of a pocket-friendly 10x zoom camera should check it out.
35003527	Overall score: 6.8 (3.0 stars)	$166.95	{'performance': 5.0, 'design': 8.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Nikon Coolpix S6200</b> packs an ultrawide-angle lens with a 10x zoom into a very small body, but still remains comfortable and easy to use.	The S6200's autofocus and overall shooting performance are mediocre.	The Nikon Coolpix S6200 is not exceptional in any way, but casual snapshooters in need of a pocket-friendly 10x zoom camera should check it out.
35004516	Overall score: 6.8 (3.0 stars)	$156.60	{'performance': 5.0, 'design': 8.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Nikon Coolpix S6200</b> packs an ultrawide-angle lens with a 10x zoom into a very small body, but still remains comfortable and easy to use.	The S6200's autofocus and overall shooting performance are mediocre.	The Nikon Coolpix S6200 is not exceptional in any way, but casual snapshooters in need of a pocket-friendly 10x zoom camera should check it out.
35004522	Overall score: 6.8 (3.0 stars)	$159.99	{'performance': 5.0, 'design': 8.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Nikon Coolpix S6200</b> packs an ultrawide-angle lens with a 10x zoom into a very small body, but still remains comfortable and easy to use.	The S6200's autofocus and overall shooting performance are mediocre.	The Nikon Coolpix S6200 is not exceptional in any way, but casual snapshooters in need of a pocket-friendly 10x zoom camera should check it out.
35026234	Overall score: 7.5 (3.5 stars)	$79.00	{'performance': 7.0, 'design': 7.0, 'features': 8.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot SX40 HS</b> has a flexible lens range, very good image stabilization, excellent photo quality for its class, and shooting modes for every kind of user.	The SX40 HS's shooting performance lags behind that of the competition and has a couple potentially irritating design points.	If you're after a wide and long lens and excellent photo quality, the Canon PowerShot SX40 HS is a standout. In features, design, and performance, though, it's a bit lacking.
35089398	Overall score: 7.7 (3.5 stars)	$699.00	{'performance': 8.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Lori Grunin	Fast performance and excellent raw photo quality, combined with Panasonic's veteran touch-screen/direct-control hybrid interface, make the <b>Lumix DMC-GX1</b> a strong ILC choice.	The new X-series PZ kit lens could use some design tweaks, and Panasonic's JPEG processing, though much better than before, could still use a little work.	A well-designed camera with an interface that creative photographers can customize to their liking, the Panasonic Lumix DMC-GX1 deserves serious consideration if you're looking for a modestly compact interchangeable-lens model.
35089399	Overall score: 7.7 (3.5 stars)	$949.00	{'performance': 8.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Lori Grunin	Fast performance and excellent raw photo quality, combined with Panasonic's veteran touch-screen/direct-control hybrid interface, make the <b>Lumix DMC-GX1</b> a strong ILC choice.	The new X-series PZ kit lens could use some design tweaks, and Panasonic's JPEG processing, though much better than before, could still use a little work.	A well-designed camera with an interface that creative photographers can customize to their liking, the Panasonic Lumix DMC-GX1 deserves serious consideration if you're looking for a modestly compact interchangeable-lens model.
35089402	Overall score: 7.7 (3.5 stars)	$699.88	{'performance': 8.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Lori Grunin	Fast performance and excellent raw photo quality, combined with Panasonic's veteran touch-screen/direct-control hybrid interface, make the <b>Lumix DMC-GX1</b> a strong ILC choice.	The new X-series PZ kit lens could use some design tweaks, and Panasonic's JPEG processing, though much better than before, could still use a little work.	A well-designed camera with an interface that creative photographers can customize to their liking, the Panasonic Lumix DMC-GX1 deserves serious consideration if you're looking for a modestly compact interchangeable-lens model.
35089397	Overall score: 7.7 (3.5 stars)	$699.00	{'performance': 8.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Lori Grunin	Fast performance and excellent raw photo quality, combined with Panasonic's veteran touch-screen/direct-control hybrid interface, make the <b>Lumix DMC-GX1</b> a strong ILC choice.	The new X-series PZ kit lens could use some design tweaks, and Panasonic's JPEG processing, though much better than before, could still use a little work.	A well-designed camera with an interface that creative photographers can customize to their liking, the Panasonic Lumix DMC-GX1 deserves serious consideration if you're looking for a modestly compact interchangeable-lens model.
35089401	Overall score: 7.7 (3.5 stars)	$799.00	{'performance': 8.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Lori Grunin	Fast performance and excellent raw photo quality, combined with Panasonic's veteran touch-screen/direct-control hybrid interface, make the <b>Lumix DMC-GX1</b> a strong ILC choice.	The new X-series PZ kit lens could use some design tweaks, and Panasonic's JPEG processing, though much better than before, could still use a little work.	A well-designed camera with an interface that creative photographers can customize to their liking, the Panasonic Lumix DMC-GX1 deserves serious consideration if you're looking for a modestly compact interchangeable-lens model.
35089400	Overall score: 7.7 (3.5 stars)	$949.00	{'performance': 8.0, 'design': 8.0, 'features': 7.0, 'image quality': 8.0}	Lori Grunin	Fast performance and excellent raw photo quality, combined with Panasonic's veteran touch-screen/direct-control hybrid interface, make the <b>Lumix DMC-GX1</b> a strong ILC choice.	The new X-series PZ kit lens could use some design tweaks, and Panasonic's JPEG processing, though much better than before, could still use a little work.	A well-designed camera with an interface that creative photographers can customize to their liking, the Panasonic Lumix DMC-GX1 deserves serious consideration if you're looking for a modestly compact interchangeable-lens model.
35018161	Overall score: 7.9 (3.5 stars)	$408.98	{'performance': 7.0, 'design': 9.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	A great little camera with advanced features, the <b>Canon PowerShot S100</b> builds on the strengths of its excellent predecessor.	As a trade-off for extending the zoom range to 5x the lens' aperture narrows very quickly as you zoom out. And there's no improvement over the S95's so-so performance, despite the price increase.	The Canon PowerShot S100 is a generally great little camera for advanced shooters who don't mind slowing down a bit from a dSLR.
35018162	Overall score: 7.9 (3.5 stars)	$409.99	{'performance': 7.0, 'design': 9.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	A great little camera with advanced features, the <b>Canon PowerShot S100</b> builds on the strengths of its excellent predecessor.	As a trade-off for extending the zoom range to 5x the lens' aperture narrows very quickly as you zoom out. And there's no improvement over the S95's so-so performance, despite the price increase.	The Canon PowerShot S100 is a generally great little camera for advanced shooters who don't mind slowing down a bit from a dSLR.
35003111	Overall score: 7.8 (3.5 stars)	$249.00	{'performance': 7.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 510 HS</b> is an attractive, easy-to-use snapshot camera with a nice wide, long lens, and plenty of shooting options, all in an ultracompact body.	The 510 HS's battery can be very short depending on the features you use and its shooting performance is a little behind that of competing models.	The Canon PowerShot Elph 510 HS hits on design, features, and photo and video quality, but is slightly off target on shooting performance.
35003134	Overall score: 7.8 (3.5 stars)	$257.79	{'performance': 7.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 510 HS</b> is an attractive, easy-to-use snapshot camera with a nice wide, long lens, and plenty of shooting options, all in an ultracompact body.	The 510 HS's battery can be very short depending on the features you use and its shooting performance is a little behind that of competing models.	The Canon PowerShot Elph 510 HS hits on design, features, and photo and video quality, but is slightly off target on shooting performance.
35003110	Overall score: 7.8 (3.5 stars)	$269.00	{'performance': 7.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot Elph 510 HS</b> is an attractive, easy-to-use snapshot camera with a nice wide, long lens, and plenty of shooting options, all in an ultracompact body.	The 510 HS's battery can be very short depending on the features you use and its shooting performance is a little behind that of competing models.	The Canon PowerShot Elph 510 HS hits on design, features, and photo and video quality, but is slightly off target on shooting performance.
34468859	Overall score: 7.0 (3.5 stars)	$78.88	{'performance': 6.0, 'design': 7.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot A800</b> is a no-frills point-and-shoot that takes AA-size batteries. It's easy to use and produces nice photos despite its low price.	The A800 has slow shooting performance and a low-resolution LCD that's very difficult to see in bright sunlight.	Considering its bargain price, you'll get excellent photos from the Canon PowerShot A800. Just don't expect anything more than that and you'll be fine.
34503624	Overall score: 7.0 (3.5 stars)	$78.88	{'performance': 6.0, 'design': 7.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot A800</b> is a no-frills point-and-shoot that takes AA-size batteries. It's easy to use and produces nice photos despite its low price.	The A800 has slow shooting performance and a low-resolution LCD that's very difficult to see in bright sunlight.	Considering its bargain price, you'll get excellent photos from the Canon PowerShot A800. Just don't expect anything more than that and you'll be fine.
34503653	Overall score: 7.0 (3.5 stars)	$77.00	{'performance': 6.0, 'design': 7.0, 'features': 7.0, 'image quality': 8.0}	Joshua Goldman	The <b>Canon PowerShot A800</b> is a no-frills point-and-shoot that takes AA-size batteries. It's easy to use and produces nice photos despite its low price.	The A800 has slow shooting performance and a low-resolution LCD that's very difficult to see in bright sunlight.	Considering its bargain price, you'll get excellent photos from the Canon PowerShot A800. Just don't expect anything more than that and you'll be fine.
35015238	Overall score: 8.0 (4.0 stars)	$439.00	{'performance': 8.0, 'design': 8.0, 'features': 9.0, 'image quality': 7.0}	Joshua Goldman	The <b>Panasonic Lumix DMC-FZ150</b>'s lens, shooting options, and fast performance offer great shooting flexibility.	The FZ150's JPEG photos can look overprocessed when viewed at large sizes.	Hobbyists and enthusiasts who want a megazoom camera with a lot of control over final results should strongly consider the Panasonic Lumix DMC-FZ150.
34468869	Overall score: 6.4 (3.0 stars)	$117.00	{'performance': 5.0, 'design': 7.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Fujifilm FinePix XP20</b> is an easy-to-use rugged point-and-shoot.	The XP20 has sluggish shooting performance and produces poor low-light photos.	The Fujifilm FinePix XP20 is a decent extra point-and-shoot for when you need a camera to take some abuse. But if it's going to be your one and only pocket camera, look elsewhere.
34458091	Overall score: 6.4 (3.0 stars)	$134.95	{'performance': 5.0, 'design': 7.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Fujifilm FinePix XP20</b> is an easy-to-use rugged point-and-shoot.	The XP20 has sluggish shooting performance and produces poor low-light photos.	The Fujifilm FinePix XP20 is a decent extra point-and-shoot for when you need a camera to take some abuse. But if it's going to be your one and only pocket camera, look elsewhere.
34530390	Overall score: 6.4 (3.0 stars)	$115.00	{'performance': 5.0, 'design': 7.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Fujifilm FinePix XP20</b> is an easy-to-use rugged point-and-shoot.	The XP20 has sluggish shooting performance and produces poor low-light photos.	The Fujifilm FinePix XP20 is a decent extra point-and-shoot for when you need a camera to take some abuse. But if it's going to be your one and only pocket camera, look elsewhere.
34530308	Overall score: 6.4 (3.0 stars)	$229.99	{'performance': 5.0, 'design': 7.0, 'features': 7.0, 'image quality': 6.0}	Joshua Goldman	The <b>Fujifilm FinePix XP20</b> is an easy-to-use rugged point-and-shoot.	The XP20 has sluggish shooting performance and produces poor low-light photos.	The Fujifilm FinePix XP20 is a decent extra point-and-shoot for when you need a camera to take some abuse. But if it's going to be your one and only pocket camera, look elsewhere.
34853488	Overall score: 8.0 (4.0 stars)	$599.95	{'performance': 8.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	With a broad feature set aimed at enthusiasts, tilting LCD, nicely implemented filters, good performance, and excellent raw photo quality, plus a price that's less burdensome than the E-P3's, there's a lot to appreciate about the <b>Olympus PEN E-PL3</b>.	The PEN E-PL3's video disappoints, and the camera's lack of a grip may prove annoying for some shooters.	While it's not the best in any particular aspect, and you probably don't want to use it for video, the Olympus PEN E-PL3 offers an excellent balance of size, features, performance, and photo quality for the money.
34853487	Overall score: 8.0 (4.0 stars)	$649.00	{'performance': 8.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	With a broad feature set aimed at enthusiasts, tilting LCD, nicely implemented filters, good performance, and excellent raw photo quality, plus a price that's less burdensome than the E-P3's, there's a lot to appreciate about the <b>Olympus PEN E-PL3</b>.	The PEN E-PL3's video disappoints, and the camera's lack of a grip may prove annoying for some shooters.	While it's not the best in any particular aspect, and you probably don't want to use it for video, the Olympus PEN E-PL3 offers an excellent balance of size, features, performance, and photo quality for the money.
34853496	Overall score: 8.0 (4.0 stars)	$849.00	{'performance': 8.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	With a broad feature set aimed at enthusiasts, tilting LCD, nicely implemented filters, good performance, and excellent raw photo quality, plus a price that's less burdensome than the E-P3's, there's a lot to appreciate about the <b>Olympus PEN E-PL3</b>.	The PEN E-PL3's video disappoints, and the camera's lack of a grip may prove annoying for some shooters.	While it's not the best in any particular aspect, and you probably don't want to use it for video, the Olympus PEN E-PL3 offers an excellent balance of size, features, performance, and photo quality for the money.
34853485	Overall score: 8.0 (4.0 stars)	$587.00	{'performance': 8.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	With a broad feature set aimed at enthusiasts, tilting LCD, nicely implemented filters, good performance, and excellent raw photo quality, plus a price that's less burdensome than the E-P3's, there's a lot to appreciate about the <b>Olympus PEN E-PL3</b>.	The PEN E-PL3's video disappoints, and the camera's lack of a grip may prove annoying for some shooters.	While it's not the best in any particular aspect, and you probably don't want to use it for video, the Olympus PEN E-PL3 offers an excellent balance of size, features, performance, and photo quality for the money.
34853495	Overall score: 8.0 (4.0 stars)	$649.00	{'performance': 8.0, 'design': 8.0, 'features': 8.0, 'image quality': 8.0}	Lori Grunin	With a broad feature set aimed at enthusiasts, tilting LCD, nicely implemented filters, good performance, and excellent raw photo quality, plus a price that's less burdensome than the E-P3's, there's a lot to appreciate about the <b>Olympus PEN E-PL3</b>.	The PEN E-PL3's video disappoints, and the camera's lack of a grip may prove annoying for some shooters.	While it's not the best in any particular aspect, and you probably don't want to use it for video, the Olympus PEN E-PL3 offers an excellent balance of size, features, performance, and photo quality for the money.
